time,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,log_ret,ret,roll_std_20,roll_skew_20,roll_kurt_20,z_score,hurst,garch_volatility,vwap,dist_vwap,force_index,amihud_illiq
2016-04-22 07:00:00,3.38,3.55,3.34,3.55,2761460,-9616119.78021978,8714330.0,-0.16550422018588043,16968.27097850365,1.1804462549763917,0.35105711518724586,65943.97710059868,3.2410687280485324,77.51695841857203,805.7197289851856,3.177,3.3792968116407387,2.9747031883592614,12.735084144837183,0.9028733786706274,0.0,0.0,3.257333333333334,3.3743333333333334,3.1403333333333334,7.18379042161277,0.8532763532763523,0.0,0.0,2.92,3.42,3.17,15.738117721120554,0.8399999999999999,0.11179167223704671,3.531323826329458,0.016055034735320106,-0.010769038110429624,0.02682407284574973,3.2258333333333336,3.1873076923076917,3.2430266265555954,3.2269715918202753,1.1226993865030677,0.8466257668711656,0.276073619631902,-0.055955316818126856,25.450074104607285,-0.08700000000000019,-4.044884961822085,-37.29016527022261,33.245280308400524,3.255,3.17,3.2125,3.255,99.78128029477048,21.27841074886237,27.754877517843795,16.081229623518915,97.17004758327057,3.3375,3.49,88.0,48.0,40.0,3.00922649445335,3.193890415323636,0.0,0.0,59.25366710854045,1.0,0.9056993719388003,0.9087518578017136,4.64872445616162,38.51636886130434,83.99999999999999,73.3333333333333,-16.000000000000014,0.08494117647058808,6.7092651757188495,0.4975263735204981,-0.3372498007986431,0.8347761743191412,17.71504918203342,14.606271631926205,3.1087775501072166,3.1878960968496837,2.4539877300613577,2.4243611609992888,-22.325581395348838,0.060976796498715374,0.20999999999999996,0.02524121179773242,0.8649601988064444,0.3105766614763462,2.6735553784115735,0.3342586088760821,2.173285762141214,3.4581074901943354,0.026573063464982213,579906.5999999999,2.2081361489471283e-08
2016-04-25 07:00:00,3.67,3.72,3.59,3.67,2336410,-6854659.78021978,11475790.0,0.08160326457308903,97388.03226728881,1.1407009335641285,0.6650752955433018,239568.70763952084,3.3111831214898024,85.83331011840043,805.7197289851856,3.194,3.453568873326538,2.934431126673462,16.253529951567813,1.1857524853377766,1.0,0.0,3.292333333333333,3.422333333333333,3.162333333333333,7.897134757517459,1.491025641025642,1.0,0.0,2.92,3.55,3.235,19.724483406386973,1.0,0.12161250501334205,2.5340299938091406,0.03935367733738593,-0.0007444950208665129,0.04009817235825244,3.2641666666666667,3.1984615384615385,3.2902532993931963,3.2508996220558104,1.2456140350877192,0.7076023391812866,0.5380116959064326,-0.012208414334700584,25.656568241385923,-0.10400000000000009,11.86638411250478,-28.78974171353586,40.65612582604064,3.36,3.235,3.2975,3.255,99.89064014738524,22.776397441882978,34.55104313483005,14.026796749977974,184.3971631205673,3.3375,3.49,100.0,44.0,56.0,3.025657434675216,3.193890415323636,0.0,0.0,69.75369509291184,1.0,0.9528496859694,0.9171947147887934,11.20166811322104,53.23968487074268,100.0,83.99999999999999,-0.0,0.10317647058823498,14.886731391585762,1.210547291906213,-0.02769038225767187,1.238237674163885,36.20428793220402,18.92587489198177,17.278413040222247,3.2568672755046015,6.287425149700598,6.097679649871535,-17.441860465116278,0.03324405857915443,0.1200000000000001,0.02563658028902226,0.6238337577351836,-0.172503556665866,2.649854453335007,0.34158171572317947,2.807468545570469,3.4689532375732823,0.0579560313033682,280369.20000000024,1.4228692129872083e-08
2016-04-26 07:00:00,3.67,3.76,3.63,3.72,1204680,-6315488.241758247,13812200.0,0.10577839173192495,123528.1990862476,1.1684593029476888,0.6592422056798941,318545.94707614044,3.393818830971893,87.89934271718313,832.9553254579242,3.219,3.5507770335632167,2.887222966436783,20.613670926574517,1.1796733263245396,1.0,0.0,3.344,3.479,3.2089999999999996,8.074162679425852,1.7074074074074055,1.0,0.0,2.92,3.72,3.3200000000000003,24.8524386455421,0.9374999999999997,0.12645125451200787,2.299010984425833,0.06673177422119903,0.012750758827546596,0.05398101539365243,3.3124999999999996,3.214230769230769,3.34867586871732,3.281944094496121,1.3450292397660817,0.6783625730994152,0.6666666666666665,0.045692244253139336,25.81847054219755,-0.08899999999999997,31.00026302821232,-18.693053929751873,49.69331695796419,3.465,3.3200000000000003,3.3925,3.3200000000000003,99.94532007369261,24.936734274349284,41.10991563961085,12.62112161105855,234.52855245683924,3.3375,3.49,100.0,40.0,60.0,3.0571179885947033,3.193890415323636,0.0,0.0,73.89364265794214,1.0,1.0,0.9528496859694,18.292379589143916,55.76276952135072,92.53731343283579,92.17910447761193,-7.462686567164215,0.14923529411764713,18.770226537216832,2.033300150758491,0.3845077243455608,1.6487924264129303,41.71115175161885,23.48293026390919,18.22822148770966,3.3445401625178643,3.3802816901408406,3.3244058579154467,-14.651162790697668,0.013532006218576373,0.050000000000000266,0.025611695826038457,0.5397737274559283,-0.23584026190023444,2.331196687662365,0.3576635644260014,2.8019393923847886,3.4752703233406543,0.07042032817294509,60234.00000000032,1.1232863680459851e-08
2016-04-27 07:00:00,3.72,3.76,3.59,3.59,1570480,-5852149.780219778,15016880.0,0.12893429055155525,114486.17064535513,0.4316498987282906,0.415302442387076,334958.48113608605,3.425684403581022,88.94271173394372,844.3034906548987,3.2464999999999997,3.642443177741463,2.8505568222585365,24.392002325055493,1.0979393339985504,1.0,0.0,3.386,3.5130000000000003,3.2590000000000003,7.501476668635558,1.8149606299212593,1.0,0.0,2.92,3.76,3.34,25.874018173417525,0.9523809523809529,0.12680612906080707,1.82840632133922,0.09140997805642392,0.028482602673322064,0.06292737538310186,3.3616666666666664,3.231923076923077,3.405802658145425,3.314392680089001,1.284090909090909,0.6875000000000001,0.5965909090909088,0.1134666942773234,25.946209856854292,-0.07649999999999979,46.28397500206629,-7.443800750766615,53.727775752832905,3.485,3.34,3.4124999999999996,3.34,99.9726600368463,27.0941931077129,40.321572278231784,11.658924468417082,210.89374760260813,3.3475,3.49,100.0,36.0,64.0,3.110148549507127,3.193890415323636,0.0,0.0,75.40426453442367,1.0,1.0,0.9842832286564667,24.337194957503662,59.805644137077934,94.36619718309866,95.63450353864482,-5.633802816901351,0.2147058823529413,18.84984025559106,2.757970671537004,0.8592003137838494,1.8987703577531545,37.58965015966798,26.304274243060952,11.28537591660703,3.4160552920247036,1.3623978201634968,1.353200621857642,-13.488372093023248,-0.035571465784867765,-0.13000000000000034,0.026388162286825792,0.41379366926611205,-0.22403832602856516,1.4928445496713134,0.37307625125175103,2.674290605461835,3.481088149560236,0.031286725805413085,-204162.40000000052,2.2650059717327037e-08
2016-04-28 07:00:00,3.59,3.67,3.55,3.59,746480,-7422629.780219778,13446400.0,0.03811511158020756,68964.94626744719,-0.21649432020783463,0.5351680049840891,280076.1155446881,3.453262146072998,79.78551706284739,844.3034906548987,3.2714999999999996,3.687397823990469,2.8556021760095303,25.425512700013414,0.8829065477477696,0.0,0.0,3.425333333333333,3.5563333333333333,3.2943333333333333,7.648890618917868,1.1284987277353684,1.0,0.0,2.92,3.76,3.34,25.67629527739569,0.7976190476190477,0.13112551615472637,1.507647749947268,0.09933267361899123,0.0426526168624559,0.05668005675653533,3.3966666666666665,3.2465384615384614,3.4341407107384363,3.334808037119445,1.2702702702702702,0.6810810810810811,0.589189189189189,0.17666396383544,26.114510177569514,0.028500000000000192,60.365152710956735,4.6311167899271535,55.73403592102958,3.485,3.34,3.4124999999999996,3.34,99.98633001842316,28.58395771733894,36.41223044751722,12.809816904310525,158.71669846653933,3.3475,3.49,96.0,32.0,64.0,3.1751336945564144,3.193890415323636,0.0,0.0,64.89070006177099,0.6532069517581374,0.8844023172527123,0.9614674390842374,25.512558766287423,56.338905934498776,74.6268656716418,87.17679209585874,-25.3731343283582,0.2921176470588236,13.249211356466875,2.978662415147387,1.283092734056557,1.69556968109083,36.15378087591531,28.274175569631822,7.879605306283487,3.4414802510175657,-3.4946236559139865,-3.5571465784867806,-16.511627906976745,0.0,0.0,0.026388162286825792,0.41379366926611205,-0.22403832602856516,1.333181506994308,0.3892230350526555,2.8585981884354585,3.4830291502388246,0.030712016795449566,0.0,0.0
2016-04-29 07:00:00,3.59,3.72,3.59,3.59,638640,-7671456.446886445,14192880.0,0.0143393594332289,59112.811086383306,-1.0449040831636482,0.39633916376665584,280076.1155446881,3.46837318850945,75.2367269098522,844.3034906548987,3.2964999999999995,3.7256514884047434,2.8673485115952557,26.03679589896823,0.8419538413941057,0.0,0.0,3.458666666666667,3.588666666666667,3.328666666666666,7.517347725520464,1.005128205128203,1.0,0.0,2.92,3.76,3.34,25.48157136356742,0.7976190476190477,0.13001296453925376,1.643673998392236,0.10440791745155531,0.055003676980275786,0.049404240471279524,3.420833333333333,3.2626923076923076,3.458119062932523,3.353711145480968,1.222222222222222,0.7566137566137566,0.46560846560846547,0.23356841743643253,26.23954200496142,-0.08649999999999958,73.33740732507421,17.096909142866675,56.24049818220753,3.485,3.34,3.4124999999999996,3.34,99.99316500921158,29.464922791135617,33.9127689710598,14.218622078981754,121.81793949087022,3.3075,3.49,92.0,28.000000000000004,64.0,3.233620325100773,3.193890415323636,0.0,0.0,64.89070006177099,0.6065376091861138,0.753248186981417,0.8792168347447097,26.385718984796885,56.79482194769161,74.6268656716418,81.20664284212741,-25.3731343283582,0.3471764705882352,8.787878787878789,3.1132054289243745,1.6491152730301206,1.4640901558942538,29.524417502559086,28.524223956217277,1.0001935463418086,3.4608459751179437,0.0,0.0,-16.511627906976745,0.0,0.0,0.02525082816187073,0.43682057884021935,0.05103980029165321,1.2098647809111989,0.4024197820926507,2.7152678737127225,3.4850435382789344,0.0301162555268671,0.0,0.0
2016-05-04 07:00:00,3.59,3.72,3.59,3.72,992870,-8310096.446886445,14831520.0,0.002068707519912286,50668.12378832855,0.9160090191657325,0.46176837942135096,280076.1155446881,3.4842682366438478,75.70068626528902,844.3034906548987,3.3254999999999995,3.7516678073247745,2.8993321926752245,25.630299643649078,0.8103237685412845,0.0,0.0,3.490666666666667,3.621666666666667,3.3596666666666666,7.505729564553107,0.8791348600508888,0.0,0.0,2.92,3.76,3.34,25.25935949481281,0.7976190476190477,0.13001166808532844,1.860931285999588,0.10719441427249254,0.06544182443871914,0.041752589833773404,3.4525,3.2788461538461533,3.478408437865981,3.3712140235934887,1.2371134020618555,0.7371134020618556,0.4999999999999999,0.28318997326479983,26.327837798702664,-0.06549999999999967,85.11704612971529,29.697892949132918,55.41915318058237,3.485,3.34,3.4124999999999996,3.34,99.99658250460578,30.53678759480383,34.25004256204673,13.164366474800863,114.9468535415294,3.2975,3.445,88.0,24.0,64.0,3.286258292590696,3.193890415323636,0.0,0.0,64.89070006177099,0.5666631023597156,0.6088025544346556,0.7488176862229282,27.05831314783288,49.964542129490574,71.1864406779661,73.48005734041656,-28.813559322033893,0.3799117647058825,11.838006230529592,3.1796976852341894,1.9552317554709344,1.224465929763255,23.150485521088243,27.44947626919147,-4.298990748103229,3.475925549891096,0.0,0.0,-16.511627906976745,0.0355714657848678,0.13000000000000034,0.025173460013709896,0.22461603279971779,-0.0936097774571738,1.6368635999413579,0.4180589408373979,2.5817168298132738,3.4889546517000625,0.06622194077167391,129073.10000000034,3.582691166503953e-08
2016-05-05 07:00:00,3.72,3.88,3.72,3.76,1038990,-7317226.446886445,15824390.0,0.06378896231408356,61868.83467571024,0.0,0.17719425931144658,316029.6252939918,3.5065345446439244,76.21158300098787,844.3034906548987,3.3634999999999997,3.788059771999192,2.9389402280008072,25.245118002033152,0.9198466547140016,0.0,0.0,3.5243333333333333,3.6563333333333334,3.392333333333333,7.490778397805737,1.2411616161616164,1.0,0.0,2.96,3.76,3.36,23.78474803032555,0.9500000000000005,0.13001050127679564,1.860931285999588,0.11852634865616096,0.0760587292822075,0.042467619373953464,3.4908333333333332,3.2984615384615386,3.515576370501984,3.397050021845823,1.204301075268817,0.8387096774193548,0.36559139784946226,0.3329375331320416,26.406851514156394,-0.06349999999999989,100.03885780487991,43.30770886700654,56.73114893787337,3.485,3.34,3.4124999999999996,3.34,99.99829125230289,31.532090626781457,31.717417450059138,12.190925199302024,112.27379781176428,3.2874999999999996,3.445,84.0,20.0,64.0,3.333632463331626,3.193890415323636,0.0,0.0,70.09795677956751,0.7812902611293177,0.6514969908917156,0.6711825774359294,29.40417016836319,51.94790539610055,92.72727272727279,79.51352635896023,-7.2727272727272005,0.370058823529412,14.110429447852773,3.489096359898711,2.26200467635649,1.2270916835422208,20.392609748744434,26.038102965102066,-5.645493216357632,3.5144488465210584,3.6211699164345523,3.5571465784867806,-13.488372093023248,0.01069528911674795,0.03999999999999959,0.02290265813091239,0.20136882837262912,0.4859060596008358,1.603799408729353,0.43330281948316984,2.695262361728695,3.4951803719681673,0.07576708491376373,41559.59999999958,1.029392883160372e-08
2016-05-06 07:00:00,3.76,3.8,3.67,3.76,1067830,-7836721.44688645,16863380.0,-0.009549678358690845,58967.51543632301,2.2329377568600237,0.33668981337287684,327201.5607778628,3.532380725703796,79.99574337625518,844.3034906548987,3.3950000000000005,3.838644001424573,2.951355998575428,26.135139995556543,0.9113658686108213,0.0,0.0,3.574333333333333,3.7143333333333333,3.4343333333333335,7.833628648699054,1.1630952380952377,1.0,0.0,3.05,3.88,3.465,24.447717231222384,0.8554216867469878,0.13300945114911605,1.712243661483033,0.12924480039657205,0.0866959435050804,0.04254885689149164,3.5291666666666663,3.321153846153846,3.553180005809371,3.423935205412799,1.2486772486772486,0.7354497354497356,0.513227513227513,0.3821544505024006,26.513393751690128,-0.09500000000000064,113.19022572779704,57.46160298659827,55.72862274119877,3.545,3.4,3.4725,3.4,99.99914562615145,33.18009082212224,37.81243114671378,11.102743509479538,129.25962925962932,3.2775,3.405,100.0,16.0,84.0,3.3762692169984634,3.193890415323636,0.0,0.0,71.49868242064005,0.8212940719163935,0.7230824784684756,0.6611273412649489,31.742959137363446,44.139081833156766,82.08955223880596,82.00108854801495,-17.910447761194046,0.3763529411764708,13.939393939393941,3.7747443407297174,2.5645526092311357,1.2101917314985817,18.35238853411384,24.500960078904424,-6.148571544790585,3.5665584405050015,1.0752688172043001,1.0695289116747775,-12.558139534883727,0.0,0.0,0.022427114166863552,0.17028145391533286,0.7421603021253421,1.4436366471669282,0.44932712808740466,2.5697758848072727,3.5004015479715327,0.0741624777817,0.0,0.0
2016-05-09 07:00:00,3.76,3.8,3.72,3.76,680210,-7426017.600732605,17931210.0,0.021339930288577714,50543.58465970544,-0.7913244617588956,0.28016663753295573,327201.5607778628,3.5570154027613112,73.75418023920108,844.3034906548987,3.4284999999999997,3.876128193928851,2.980871806071148,26.11218864977988,0.8702849870675153,0.0,0.0,3.624333333333334,3.7723333333333335,3.476333333333333,8.167019221925889,0.958333333333332,0.0,0.0,3.05,3.88,3.465,24.20883768411842,0.8554216867469878,0.13270850603420442,1.6813187671580332,0.1361695725533436,0.09659066931473305,0.03957890323861056,3.5675000000000003,3.3438461538461537,3.584998466454083,3.4488288939007394,1.222222222222222,0.7777777777777779,0.4444444444444442,0.42789356103109927,26.52535293551175,-0.16849999999999987,127.52558784274109,72.0805444093275,55.44504343341359,3.61,3.4,3.505,3.4,99.99957281307573,34.07142998658113,35.073085850623755,13.084768573348729,101.21882314956822,3.2775,3.365,96.0,12.0,84.0,3.4367169109586477,3.193890415323636,0.0,0.0,71.49868242064005,0.8212940719163935,0.8079594683207015,0.7275129792269642,33.57630772210502,44.08305086066499,82.08955223880596,85.6354590682949,-17.910447761194046,0.3755588235294116,13.939393939393941,3.9482843812332864,2.841298963631566,1.1069854176017202,16.765588081992348,22.95388567952201,-6.188297597529662,3.6076096063500427,0.0,0.0,-12.558139534883727,0.0,0.0,0.022427114166863552,0.17028145391533286,0.7421603021253421,1.3156886430246584,0.46913355017898517,2.4467815615452784,3.503834832847322,0.07310994363981196,0.0,0.0
