Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,log_ret,ret,roll_std_20,roll_skew_20,roll_kurt_20,z_score,hurst,garch_volatility,vwap,dist_vwap,force_index,amihud_illiq
3.97,3.97,3.88,3.92,330350,-3315119.20757022,23372670.0,0.1385247956879902,27776.175621795934,1.084573802664951,0.2908091761063044,453008.5633275306,3.83570816425183,64.70457967259907,853.1244072762369,3.8064999999999998,3.960937689700407,3.6520623102995926,8.114419529773134,1.0293396978327414,1.0,0.0,3.849,3.961,3.7369999999999997,5.819693426864125,1.040178571428573,1.0,0.0,3.59,4.01,3.8,11.033758045448574,0.9047619047619058,0.11545776828648938,2.133370629069819,0.10290718663774756,0.11107575190575777,-0.008168565268010214,3.8441666666666663,3.763076923076923,3.8308702837985527,3.727963097160805,1.0981595092024539,0.8466257668711656,0.2515337423312882,0.4803243077102089,24.859729589770176,-0.08649999999999958,130.63386540208094,147.33961020211098,-16.705744800030033,3.84,3.675,3.7575,3.465,23.90401541302427,36.81628346965646,34.58611039231427,14.259533009664718,165.32797858099002,3.2125,3.255,68.0,0.0,68.0,3.67,3.97799872,1.0,0.0,69.40574135262662,0.7003615367354532,0.4217458202646219,0.20334593165025308,31.624069873844924,58.46839777429019,88.23529411764719,62.745098039215726,-11.764705882352827,0.16302941176470576,6.720430107526881,2.760413232526928,3.0301266546482455,-0.2697134221213173,-4.098388642224402,-6.202819567645777,2.1044309254213758,3.8099915795832517,1.2755102040816313,1.267444089672809,2.3195876288659933,-0.012674440896727937,-0.050000000000000266,0.016394335063854855,1.365937895712425,1.8145748204467012,1.2881739780121086,0.4265773304509637,2.1350368446003904,3.496148328729563,0.12123389267767624,-16517.500000000087,3.836670469722397e-08
3.88,3.97,3.88,3.97,1024510,-3351824.7631257763,23042320.0,0.06692317278552513,21448.507675825076,-1.089753291963068,0.19892826122220045,448847.9839824424,3.842124887308917,60.26959097676996,842.3797673861079,3.8165,3.9731237529878505,3.6598762470121495,8.207716650745473,0.8304096537899605,0.0,0.0,3.8560000000000003,3.965,3.7470000000000008,5.653526970954332,0.7935779816513756,0.0,0.0,3.67,4.01,3.84,8.908685968819595,0.7352941176470591,0.11291199145784048,2.1597616800938613,0.10239449490287322,0.10933950050518088,-0.006945005602307652,3.8608333333333333,3.777307692307692,3.8445825478295443,3.742188052926671,1.0476190476190477,0.8749999999999998,0.1726190476190479,0.46816444409772656,24.664932541637196,0.06349999999999989,127.19496809402466,143.8866367217085,-16.69166862768384,3.84,3.78,3.8099999999999996,3.465,48.122765660187326,36.64017517607364,32.64643961149706,15.952374155068801,107.76075135936685,3.2975,3.255,64.0,12.0,52.0,3.6768,3.97799872,0.0,0.0,64.38935503166127,0.4154960957259706,0.5602445188399455,0.3900941045969016,31.18850675212711,58.05217181578798,73.52941176470591,78.43137254901967,-26.470588235294088,0.1769117647058822,5.376344086021498,2.736219918793046,2.971345307477206,-0.23512538868416,-8.076846369525974,-6.577624928021817,-1.4992214415041571,3.812838158436615,-1.2594458438287215,-1.267444089672809,1.0309278350515427,0.01267444089672786,0.050000000000000266,0.01645152719358366,1.3381266304712263,1.7063327869469769,1.6610422068376216,0.4117558111563498,2.096880269404459,3.5043020786694186,0.1328932012354959,51225.50000000028,1.237122223963442e-08
3.97,4.01,3.84,3.84,338710,-2327314.7631257763,24066830.0,0.18501346006251138,25702.363722135822,0.0,0.22938983014530737,461915.71357427916,3.8576013892865224,67.51927855179805,842.3797673861079,3.8269999999999995,3.9948213335663825,3.6591786664336166,8.770385867069923,0.9260483365287882,0.0,0.0,3.8590000000000004,3.9560000000000004,3.7619999999999996,5.0272091215340975,1.0721649484536069,1.0,0.0,3.67,4.01,3.84,8.884243532793308,0.8823529411764718,0.11062079231205646,2.140965292823036,0.10481452850201256,0.10843450610454722,-0.0036199776025346575,3.8683333333333336,3.7888461538461535,3.8638775404711527,3.75906301196914,1.0693641618497107,0.8554913294797686,0.21387283236994215,0.4590922285060778,24.49585676462273,0.013000000000000345,123.3852262679467,139.8619465690689,-16.476720301122185,3.84,3.78,3.8099999999999996,3.465,67.14676205284638,36.476646046318166,30.787015032500385,15.043783909079464,108.75576036866345,3.3925,3.3200000000000003,60.0,8.0,52.0,3.683464,3.97799872,0.0,0.0,66.96097881285351,0.5615308497635797,0.5591294940750011,0.5137066110598562,31.642372984523604,68.13935979015884,88.23529411764719,83.33333333333343,-11.764705882352827,0.19979411764705812,2.319587628865987,2.7883152841087044,2.934739302803506,-0.14642401869480137,-2.7917828543970744,-5.820456513296868,3.028673658899794,3.815436271982596,1.2755102040816313,1.267444089672809,2.3195876288659933,-0.033293728099463696,-0.13000000000000034,0.018319378276715093,0.8289011474582363,1.2551852530266603,0.10630719154829142,0.40196502000554435,2.0432201860169137,3.5066706773697964,0.09505578176511845,-44032.30000000011,9.829567505967847e-08
3.84,3.92,3.84,3.88,515370,-2666024.7631257763,23728120.0,0.13527059955377474,15740.268904687835,-1.1144513842890764e-14,0.27824806742696473,450824.4541284353,3.8641310366490615,67.3253143736503,814.7955432651521,3.8310000000000004,3.996033329967008,3.6659666700329927,8.61567893328153,0.5272672192998792,0.0,0.0,3.857666666666667,3.958666666666667,3.7566666666666664,5.236325931046411,0.4125412541254124,0.0,0.0,3.67,4.01,3.84,8.874967371443484,0.5,0.11655871308085079,2.2953875721530625,0.09514572829048928,0.10577675054173563,-0.010631022251246347,3.8683333333333336,3.793461538461538,3.86020407270636,3.7650583444158707,1.0718232044198894,0.839779005524862,0.23204419889502748,0.4444803805356339,24.41778423249278,0.08899999999999952,115.43449521397568,134.9456720619291,-19.511176847953408,3.84,3.78,3.8099999999999996,3.465,54.73716702879416,35.786024467003415,27.59039012107377,15.924849168694797,62.58757589911222,3.4124999999999996,3.34,56.00000000000001,4.0,52.00000000000001,3.68999472,3.97799872,0.0,0.0,55.69860488783284,0.0,0.3256756484965167,0.4816832204704878,28.137175734641257,57.80758310355785,50.0,70.5882352941177,-50.0,0.21367647058823458,0.0,2.5270718163399577,2.8532058055107963,-0.3261339891708386,-6.802331651338718,-6.016831540905239,-0.7855001104334791,3.8159513210482667,-3.2745591939546737,-3.3293728099463626,-1.0309278350515427,0.010362787035546658,0.040000000000000036,0.0184342267139148,0.7273317069305149,1.0339948708642304,0.5142964399920881,0.3984855917355496,2.266218067403149,3.51006860394002,0.10539150022445005,20614.800000000017,2.0107470430072876e-08
4.08,4.08,3.91,4.0,761700,-2666024.7631257763,24243490.0,0.137099949849118,16436.630489732433,-0.6985272716688975,0.050119911283113536,456192.89162843535,3.868742605680588,57.87773769596003,814.7955432651521,3.8369999999999997,3.999984661855032,3.6740153381449674,8.49542151967852,0.6319142534965859,0.0,0.0,3.857666666666667,3.958666666666667,3.756666666666667,5.2363259310464,0.6105610561056094,0.0,0.0,3.67,4.01,3.84,8.861089392754753,0.6176470588235295,0.11290284177276573,2.3740044215596616,0.08967705885649835,0.10255681220468818,-0.012879753348189832,3.8649999999999998,3.8046153846153845,3.8632495999823044,3.773572541125806,1.0817610062893082,1.0062893081761008,0.07547169811320731,0.4281016893031684,24.332644475869714,0.08300000000000018,109.34159389471358,129.68796158179057,-20.34636768707699,3.84,3.78,3.8099999999999996,3.465,27.36858351439708,35.14473300049686,26.21116195149887,15.128774866254288,42.71034039820158,3.4124999999999996,3.34,52.0,0.0,52.0,3.6963948256,3.97799872,0.0,0.0,58.03729636592982,0.1306490788811041,0.23072664288156122,0.3718439284843597,26.110865341209955,53.4835444158258,61.764705882352956,66.66666666666671,-38.235294117647044,0.2012058823529408,-1.020408163265307,2.376449846376721,2.757854613683981,-0.3814047673072598,-7.8593836339147645,-6.385341959507144,-1.4740416744076201,3.816217912844112,1.041666666666674,1.0362787035546495,0.0,0.030459207484708654,0.1200000000000001,0.019523639499579956,0.5411488188147925,0.18309060048553044,1.6961728266706937,0.3955221387430427,2.198163210192714,3.5165274346535274,0.1374857936787596,91404.00000000009,3.998845672142399e-08
4.0,4.04,3.95,4.0,412880,-2621218.880772836,25005190.0,0.14057450455145903,27146.254705484957,2.5666272810817943,0.14521935416922124,479750.6235871983,3.880559815393076,59.87879256787593,814.7955432651521,3.849,4.0225396208362785,3.675460379163722,9.017387416798039,0.9350591503898037,0.0,0.0,3.8733333333333335,3.979333333333334,3.767333333333333,5.473321858864043,1.0974842767295572,1.0,0.0,3.67,4.08,3.875,10.652117433099509,0.8048780487804877,0.12161255759548917,2.3579613729585422,0.0939431775750923,0.10083408527876901,-0.006890907703676716,3.8716666666666666,3.8203846153846155,3.8842881230619497,3.7903449454868574,1.0239520958083832,0.8622754491017962,0.161676646706587,0.41682105574102823,24.363415989347008,0.030999999999999694,104.6850250267652,124.63124818017592,-19.946223153410713,3.875,3.835,3.855,3.5,31.702387369701583,35.62952148032044,32.591700633696384,13.33416957730284,139.24542979385407,3.4124999999999996,3.34,100.0,0.0,100.0,3.702666929088,3.97799872,0.0,0.0,64.15141049104419,0.4722090435456767,0.20095270747559354,0.2524516662845571,26.486876156325216,55.00816548720742,80.48780487804876,64.08417025346724,-19.51219512195123,0.18852941176470583,2.040816326530614,2.478486230836323,2.7019809371144494,-0.2234947062781263,-5.5147399882136385,-6.211221565248444,0.6964815770348052,3.827952640284491,3.0927835051546504,3.045920748470854,3.0927835051546504,0.0,0.0,0.019523639499579956,0.5411488188147925,0.18309060048553044,1.5026507107668616,0.39493799484992487,2.3012749117599895,3.519957300248076,0.13637742131647224,0.0,0.0
3.95,4.26,3.91,4.13,1037540,-2575343.3252172815,25418070.0,0.14771215442461474,23268.218318987107,0.0,0.08200408510630575,479750.6235871983,3.882597824731179,53.97799410914391,814.7955432651521,3.8609999999999998,4.041321934328575,3.680678065671424,9.340685538905754,0.8854217749980429,0.0,0.0,3.897,4.004,3.7900000000000005,5.491403643828563,0.9813084112149553,0.0,0.0,3.67,4.08,3.875,10.619010619010623,0.8048780487804877,0.11845130183594024,2.3579613729585422,0.09621500075832046,0.09991026837467931,-0.003695267616358855,3.8816666666666664,3.836153846153846,3.9020899502831883,3.805874949524868,1.0516129032258066,0.9354838709677415,0.11612903225806503,0.40853368710595744,24.35169321022812,-0.06099999999999994,101.5906934986909,120.10695709767823,-18.516263598987337,3.9000000000000004,3.835,3.8675,3.5,53.70512572944347,36.079682211585194,30.819981967957112,12.609310282669556,125.87839902230355,3.4124999999999996,3.34,96.0,0.0,96.0,3.71776025192448,3.97799872,0.0,0.0,64.15141049104419,0.4722090435456767,0.3583557219908191,0.2633450241159913,26.772935510126654,50.35906167115352,80.48780487804876,74.24677187948349,-19.51219512195123,0.18208823529411777,3.092783505154642,2.528065215866646,2.6671977928648887,-0.13913257699824255,-8.01463904863991,-6.571905061926737,-1.4427339867131739,3.843996867183802,0.0,0.0,3.0927835051546504,0.03198304585305074,0.1299999999999999,0.0205402692551266,0.3675444133257959,-0.4096332891928411,2.3391652218585133,0.39624490946826624,2.197427461787297,3.530186083197687,0.16990999983179184,134880.1999999999,3.082584368125638e-08
4.13,4.13,4.04,4.04,244390,-2308547.3252172815,26455610.0,0.19394725988192987,39212.78713056036,3.036027526649567,0.2988631941527028,513470.6735871983,3.907179557589279,59.97576645386065,814.7955432651521,3.8794999999999993,4.08825583824171,3.670744161758289,10.761997073937907,1.0999832198943242,1.0,0.0,3.934,4.067,3.8010000000000006,6.761565836298922,1.2368421052631573,1.0,0.0,3.67,4.26,3.965,15.208145379559221,0.7796610169491527,0.14160617165234618,2.3579613729585422,0.10726882233197976,0.1013819791661394,0.005886843165840358,3.909166666666667,3.8519230769230766,3.9371530348550055,3.8298842125230257,1.0,0.7966101694915254,0.2033898305084746,0.40862571294708744,24.6207898664173,-0.1194999999999995,102.48421530783762,116.43934176342866,-13.955126455591042,4.029999999999999,3.965,3.9974999999999996,3.59,74.62441312535923,37.525677598374166,36.76114939472956,10.270962518815402,193.72481289579798,3.4124999999999996,3.34,100.0,4.0,96.0,3.732249841847501,3.97799872,0.0,0.0,69.69850546356088,1.0,0.6481393623637844,0.40248259727673236,28.96821126730924,53.33934094416964,77.96610169491527,79.6472371503376,-22.033898305084733,0.1890882352941179,8.684210526315791,2.8008372154236465,2.6939256773766402,0.10691153804700626,-2.0905831798360857,-5.675640685508607,3.585057505672521,3.8830905527825244,3.2499999999999973,3.1983045853050784,6.443298969072164,-0.022032714999882692,-0.08999999999999986,0.021135137046650425,0.3311307175416602,-0.5450164148170951,1.3644512317928446,0.41314704264281027,2.3214107346687025,3.5324190714253154,0.14369216061611795,-21995.099999999966,9.01539138257813e-08
4.04,4.04,4.0,4.0,327670,-2552937.3252172815,26211220.0,0.20651313344775318,30468.80325476603,0.0,0.3540758179670121,508144.9835145591,3.9125234903465036,59.99275631316251,797.0397081818921,3.8954999999999997,4.101943696924849,3.68905630307515,10.599085967133838,0.8499743565738462,0.0,0.0,3.965,4.099,3.8310000000000004,6.75914249684741,0.7798507462686559,0.0,0.0,3.67,4.26,3.965,15.145680913874981,0.6271186440677969,0.13644555448711154,2.413464081548251,0.10752729994858434,0.1026110433226284,0.004916256625955948,3.9324999999999997,3.862692307692307,3.952975644877312,3.8454483449287276,1.0730337078651686,0.842696629213483,0.23033707865168562,0.40861613684115233,24.747548735569076,-0.13549999999999995,101.073373861075,112.86927295190114,-11.79589909082614,4.05,3.965,4.0075,3.59,87.3122065626796,38.8683876003925,34.9655192031196,9.7692684559436,150.74309978768625,3.4725,3.4,96.0,0.0,96.0,3.7639148513366507,3.97799872,0.0,0.0,62.489365097579174,0.48505774544710956,0.6524222629975953,0.5529724491173996,28.270733540937794,50.56050633869096,62.7118644067797,73.72192365991458,-37.288135593220304,0.19785294117647112,7.446808510638305,2.796222710685697,2.714385084038452,0.08183762664724537,-7.25041129589441,-5.990594807585768,-1.2598164883086422,3.894540142677999,-2.1791767554479424,-2.2032714999882685,4.123711340206193,-0.009950330853168092,-0.040000000000000036,0.021353363004355908,0.38243019125829375,-0.6124550140921565,0.9066837001697652,0.4400490923816577,2.3702349662677715,3.535071607099523,0.13151880487137976,-13106.800000000012,3.0366926643171763e-08
4.0,4.08,4.0,4.0,203560,-2880607.3252172815,25883550.0,0.17722261841168593,24243.71707551374,-0.7934812463759271,0.3300261667207233,504900.72608881653,3.920829638763077,61.31274922517334,797.0397081818921,3.9095,4.104073893418411,3.714926106581589,9.953901696810892,0.7325594621406614,0.0,0.0,3.978333333333334,4.104333333333334,3.852333333333333,6.334310850439899,0.585978835978835,0.0,0.0,3.67,4.26,3.965,15.091443918659673,0.5593220338983054,0.1268009990384004,2.4213963298903947,0.10331354537528536,0.1027515437331598,0.0005620016421255675,3.9525,3.871923076923077,3.9602101610500333,3.856896615674748,1.076470588235294,0.8882352941176468,0.18823529411764728,0.40556868768858334,24.78346423739817,-0.1495000000000002,96.23552357771418,109.04723497141595,-12.81171139370177,4.05,3.965,4.0075,3.59,93.14400038574288,39.56061850053182,34.16672782160427,11.830600086299754,93.80530973451235,3.505,3.4,92.0,20.0,72.0,3.7936799602564517,3.97799872,0.0,0.0,59.541665903732834,0.27450630774927065,0.58652135106546,0.6290276588089466,26.724227150451934,47.24339735894357,55.93220338983053,65.53672316384184,-44.06779661016947,0.20894117647058774,6.382978723404261,2.6786703318779805,2.707242133606358,-0.028571801728377366,-10.499275352706134,-6.892330916609842,-3.606944436096292,3.8964149845859457,-0.990099009900991,-0.9950330853168099,3.0927835051546504,0.0,0.0,0.019340326058350264,0.4180289508893421,-0.1953657294873853,0.8321887372389223,0.4638794492523049,2.2811528908844507,3.5367503001248144,0.13098173763039964,0.0,0.0
